"53","ACOTASP-14","BMC OTA Intake System","1200","2400","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/images/product/ota_piccolo.JPG","/cgi-bin/images/product/acotasp14_small.JPG","Y","no comments"
"54","ACOTASP-15WP","BMC OTA Intake System","950","1900","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/images/product/ota_piccolo.JPG","/cgi-bin/images/bmc_vs_oem.jpg","Y","no comments"
"55","ACOTASP-16","BMC OTA Intake System","420","840","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/images/product/ota_piccolo.JPG","/cgi-bin/images/product/acotasp16_small.JPG","Y","no comments"
"56","ACOTASP-17","BMC OTA Intake System","420","840","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/images/product/ota_piccolo.JPG","/cgi-bin/images/product/acotasp17_small.JPG","Y","no comments"
"57","ACOTASP-18","BMC OTA Intake System","400","800","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/images/product/ota_piccolo.JPG","/cgi-bin/images/product/acotasp18_small.JPG","Y","no comments"
"58","ACOTASP-19","BMC OTA Intake System","420","840","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/images/product/ota_piccolo.JPG","/cgi-bin/images/product/acotasp19.JPG","Y","no comments"
"59","ACOTASP-20","BMC OTA Intake System","420","840","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/images/product/ota_piccolo.JPG","/cgi-bin/images/product/acotaspmini184_small.JPG","Y","no comments"
"60","ACOTASP-21","BMC OTA Intake System","400","800","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/images/product/ota_piccolo.JPG","/cgi-bin/images/product/acotasp21_black2.jpg","Y","no comments"
"61","ACOTASP-22","BMC OTA Intake System","420","840","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/images/product/ota_piccolo.JPG","/cgi-bin/images/product/acotasp22small.JPG","Y","no comments"
"62","ADDIA70-130","BMC DIA (ADDIA70-130)","118.13","236.26","DIA - DIRECT INTAKE AIRSYSTEM",\N,"D1 (mm)","70","D2 (mm)","130","L1 (mm)","220","/cgi-bin/Images/Product/DIA 2.jpg","/cgi-bin/Images/Product/DIA Dis.JPG","Y","no comments"
"63","ADDIA85-150","BMC DIA (ADDIA85-150)","144.97","289.94","DIA - DIRECT INTAKE AIRSYSTEM",\N,"D1 (mm)","85","D2 (mm)","150","H (mm)","220","/cgi-bin/Images/Product/DIA%202.jpg","/cgi-bin/Images/Product/DIA%20Dis.jpg","Y","no comments"
"64","ADDIARI-130","BMC DIA REPLACEMENT FILTER ELEMENT(ADDIARI-130)","90.25","180.5",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"N","Rare filter replacement: not on website"
"65","ADDIARI-150","BMC DIA REPLACEMENT FILTER ELEMENT(ADDIARI-150)","99.41","198.82",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"N","Rare filter replacement: not on website"
"66","CRF605/08","BMC CRF Replacement Filters","860","1720","CRF - CARBON RACING FILTERS - CARS",\N,"","","","","","","/cgi-bin/images/product/crf605_08_3.jpg","/cgi-bin/images/product/audi_r8_2.jpg","Y","no comments"
"67","CRF612/08","BMC CRF Replacement filters","850","1700","CRF - CARBON RACING FILTERS - CARS",\N,"","","","","","","/cgi-bin/images/product/crf612_08_1.jpg","/cgi-bin/images/pages/vdat_small.png","Y","no comments"
"68","CRF614/01","BMC CRF Replacement filter","590","1180","CRF - CARBON RACING FILTERS - CARS",\N,"B (mm)","576","A (mm)","247","","","/cgi-bin/images/product/crf614_01_1.jpg","/cgi-bin/images/product/CRF614 (application).JPG","Y","no comments"
"69","CRF642/08","BMC CRF Intake System","1900","3800","CRF - CARBON RACING FILTERS - CARS",\N,"","","","","","","/cgi-bin/images/product/kit_gtr35_double_small.JPG","/cgi-bin/images/product/nissan_gtr35_2.JPG","Y","no comments"
"70","CRF644/01T","BMC CRF Intake System","3000","6000","CRF - CARBON RACING FILTERS - CARS",\N,"","","","","","","/cgi-bin/images/product/crf644_01.jpg","/cgi-bin/images/product/img_8691_small.JPG","Y","no comments"
"71","CRF668/01","BMC CRF Complete Airbox","5500","11000","CRF - CARBON RACING FILTERS - CARS",\N,"","","","","","","/cgi-bin/images/product/crf668_01_small.JPG","/cgi-bin/images/product/crf668_01_small_inside.JPG","Y","no comments"
"72","CRF676/01","BMC CRF Intake System","3000","6000","CRF - CARBON RACING FILTERS - CARS",\N,"","","","","","","/cgi-bin/images/product/crf676_01.jpg","/cgi-bin/images/product/crf676_audi_tt_1.jpg","Y","no comments"
"73","CRF704/01","BMC CRF Complete Airbox","4500","9000","CRF - CARBON RACING FILTERS - CARS",\N,"","","","","","","/cgi-bin/images/product/crf705_01_kit1.JPG","/cgi-bin/images/product/audi_r8_v10_small.JPG","Y","no comments"
